id;transactionDate;transaction_date;kioskUuid;resetId;settlementId;memberId;paymentTypeId;storeOutlesId;terminalId;struk;total;locked;startDate;endDate;cashierId;pthType;subTotal;discount;discountMember;voucher;bkp;dpp;ppn;nonBkp;finalPrice;photo;userId;cashDrawer;printing;presence;inputDate;input_date;updateDate;update_date
UATx1.231130.0083;1701342057;"2023-11-30 11:00:57";Z1;;UATx1SET000032;;;Comingsoon;UATx1;UATx1.231130.0083;90000;1;"2023-01-01 00:00:00.000";"2023-11-30 11:00:57.000";123123;1;0;0;0;0;81082;90000;8918;0;90000;;;1;0;1;1701342057;"2023-11-30 11:00:57";1701342057;"2023-11-30 11:00:57"
UATx1.231201.0084;1701420055;"2023-12-01 08:40:55";Z2;;UATx1SET000032;;;Comingsoon;UATx1;UATx1.231201.0084;22500;1;"2023-01-01 00:00:00.000";"2023-12-01 08:40:55.000";123123;1;0;0;0;0;20271;22500;2229;0;22500;;;1;0;1;1701420055;"2023-12-01 08:40:55";1701420055;"2023-12-01 08:40:55"
UATx1.231201.0085;1701420558;"2023-12-01 08:49:18";Z3;;UATx1SET000032;;;Comingsoon;UATx1;UATx1.231201.0085;22500;1;"2023-01-01 00:00:00.000";"2023-12-01 08:49:18.000";123123;1;0;0;0;0;20271;22500;2229;0;22500;;;1;0;1;1701420558;"2023-12-01 08:49:18";1701420558;"2023-12-01 08:49:18"
UATx1.231201.0086;1701421776;"2023-12-01 09:09:36";Z4;;UATx1SET000032;;;Comingsoon;UATx1;UATx1.231201.0086;25300;1;"2023-01-01 00:00:00.000";"2023-12-01 09:09:36.000";123123;1;0;0;0;0;22793;25300;2507;0;25300;;;1;1;1;1701421776;"2023-12-01 09:09:36";1701421776;"2023-12-01 09:09:36"
