id;transactionId;paymentTypeId;amount;rounding;voucherNumber;presence;inputDate;updateDate;input_date;update_date
UATx1.231130.0083;UATx1.231130.0083;CASH;90000;;;1;1701342057;1701342057;"2023-11-30 11:00:57";"2023-11-30 11:00:57"
UATx1.231201.0084;UATx1.231201.0084;CASH;22500;;;1;1701420055;1701420055;"2023-12-01 08:40:55";"2023-12-01 08:40:55"
UATx1.231201.0085;UATx1.231201.0085;BCA01;22500;;;1;1701420558;1701420558;"2023-12-01 08:49:18";"2023-12-01 08:49:18"
UATx1.231201.0086;UATx1.231201.0086;BCA01;25300;;;1;1701421776;1701421776;"2023-12-01 09:09:36";"2023-12-01 09:09:36"
