10167666-10103|0036908|1|9999|316900|0|0|0|0|1
10167666-10103|0067757|1|9999|232900|0|0|0|0|1
10167666-10103|0036896|1|9999|231900|0|0|0|0|1
10167666-10103|0062773|1|9999|287900|0|0|0|0|1
10167666-10103|0073199|1|9999|356900|0|0|0|0|1
10167666-10103|0067754|1|9999|189900|0|0|0|0|1
10167665-10103|0034413|1|9999|308900|0|0|0|0|1
10167665-10103|0075791|1|9999|324900|0|0|0|0|1
10167665-10103|0034423|1|9999|175900|0|0|0|0|1
10167665-10103|0053073|1|9999|124900|0|0|0|0|1
10167663-10103|0073846|1|9999|719900|0|0|0|0|1
10167663-10103|0073847|1|9999|798900|0|0|0|0|1
10167663-10103|0036824|1|9999|376900|0|0|0|0|1
10167665-10103|0053078|1|9999|296900|0|0|0|0|1
10167666-10103|0078091|1|9999|267900|0|0|0|0|1
10167682-10103|0002006|1|9999|20500|0|0|0|0|1
10167720-10103|0030749|1|9999|15900|0|0|0|0|1
10167711-10103|0029728|1|9999|6300|0|0|0|0|1
10167693-10103|0080757|1|9999|24900|0|0|0|0|1
10167693-10103|0002545|1|9999|29200|0|0|0|0|1
10167685-10103|0065221|1|9999|164500|0|0|0|0|1
10167662-10103|0026001|1|9999|40850|0|0|0|0|1
10167719-10103|0010726|1|9999|15000|0|0|0|0|1
10167664-10103|0034201|1|9999|6700|0|0|0|0|1
10167682-10103|0002121|1|9999|20500|0|0|0|0|1
10167693-10103|0025388|1|9999|84900|0|0|0|0|1
10167682-10103|0033609|1|9999|13500|0|0|0|0|1
10167664-10103|0016932|1|9999|4000|0|0|0|0|1
10167711-10103|0025545|1|9999|15900|0|0|0|0|1
10167682-10103|0004756|1|9999|12900|0|0|0|0|1
10167710-10103|0060651|1|9999|88100|0|0|0|0|1
10167719-10103|0073234|1|9999|14950|0|0|0|0|1
10167719-10103|0028460|1|9999|35000|0|0|0|0|1
10167585-10103|0040033|1|9999|287900|0|0|0|0|1
10167719-10103|0065057|1|9999|19200|0|0|0|0|1
10167693-10103|0016132|1|9999|25400|0|0|0|0|1
10167707-10103|0004553|1|9999|5300|0|0|0|0|1
10167693-10103|0025831|1|9999|84900|0|0|0|0|1
10167693-10103|0035876|1|9999|272900|0|0|0|0|1
10167682-10103|0002883|1|9999|10500|0|0|0|0|1
10167719-10103|0014034|1|9999|11500|0|0|0|0|1
10167662-10103|0011112|1|9999|42750|0|0|0|0|1
10167683-10103|0074855|1|9999|82500|0|0|0|0|1
10167711-10103|0037765|1|9999|22400|0|0|0|0|1
